Ville, Bouteille d'eau en plastique, Canette de soda, Brique de jus, Carton, Boite de conserve, Thon en conserve, Pot de confiture, Feuille de papier, Reste de pomme, Epluchures, Bouteille d'eau en verre, Pot de yaourt en plastique, Pot de yaourt en verre, Barquette en plastique, Flacon de shampoing, Flacon de parfum
Paris (75056),Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle blanc ou Point de collecte,Bac au couvercle jaune ou Point de collecte,À déposer dans un bac de compost,À déposer dans un bac de compost,Bac au couvercle blanc ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle blanc ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,
Marseille (13055),Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,À déposer dans un bac de compost,À déposer dans un bac de compost,Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle marron ou Point de collecte / Bac au couvercle marron ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle marron ou Point de collecte,Bac au couvercle jaune ou Point de collecte,
Lyon (69123),Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,À déposer dans un bac de compost,À déposer dans un bac de compost,Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,
Toulouse (31555),Bac au couvercle bleu ou Point de collecte,Bac au couvercle bleu ou Point de collecte,Bac au couvercle bleu ou Point de collecte / Bac au couvercle bleu ou Point de collecte,Bac au couvercle bleu ou Point de collecte,Bac au couvercle bleu ou Point de collecte,Bac au couvercle bleu ou Point de collecte,Bac au couvercle bleu ou Point de collecte / Point de collecte,Bac au couvercle bleu ou Point de collecte,À déposer dans un bac de compost,À déposer dans un bac de compost,Point de collecte / Bac au couvercle bleu ou Point de collecte,Bac au couvercle vert ou Point de collecte / Bac au couvercle vert ou Point de collecte,Bac au couvercle bleu ou Point de collecte / Point de collecte,Bac au couvercle vert ou Point de collecte,Bac au couvercle bleu ou Point de collecte,
Nice (06088),Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Point de collecte,À déposer dans un bac de compost,À déposer dans un bac de compost,Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,
Nantes (44109),Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,À déposer dans un bac de compost,À déposer dans un bac de compost,Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,
Montpellier (34172),Sac jaune ou Bac au couvercle jaune ou Point de collecte,Sac jaune ou Bac au couvercle jaune ou Point de collecte,Sac jaune ou Bac au couvercle jaune ou Point de collecte / Sac jaune ou Bac au couvercle jaune ou Point de collecte,Sac jaune ou Bac au couvercle jaune ou Point de collecte,Sac jaune ou Bac au couvercle jaune ou Point de collecte,Sac jaune ou Bac au couvercle jaune ou Point de collecte,Sac jaune ou Bac au couvercle jaune ou Point de collecte / Point de collecte,Sac jaune ou Bac au couvercle jaune ou Point de collecte,Bac au couvercle - ou Point de collecte,Bac au couvercle - ou Point de collecte,Point de collecte / Sac jaune ou Bac au couvercle jaune ou Point de collecte,Sac jaune ou Bac au couvercle jaune ou Point de collecte / Sac jaune ou Bac au couvercle jaune ou Point de collecte,Sac jaune ou Bac au couvercle jaune ou Point de collecte / Point de collecte,Sac jaune ou Bac au couvercle jaune ou Point de collecte,Sac jaune ou Bac au couvercle jaune ou Point de collecte,
Strasbourg (67482),Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte / Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,À déposer dans un bac de compost,À déposer dans un bac de compost,Point de collecte / Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle bleu ou Point de collecte / Bac au couvercle bleu ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte / Point de collecte,Bac au couvercle bleu ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,
Bordeaux (33063),Bac au couvercle vert ou Point de collecte,Bac au couvercle vert ou Point de collecte,Bac au couvercle vert ou Point de collecte / Bac au couvercle vert ou Point de collecte,Bac au couvercle vert ou Point de collecte,Bac au couvercle vert ou Point de collecte,Bac au couvercle vert ou Point de collecte,Bac au couvercle vert ou Point de collecte / Point de collecte,Bac au couvercle vert ou Point de collecte,À déposer dans un bac de compost,À déposer dans un bac de compost,Point de collecte / Bac au couvercle vert ou Point de collecte,Bac au couvercle gris ou Point de collecte / Bac au couvercle gris ou Point de collecte,Bac au couvercle vert ou Point de collecte / Point de collecte,Bac au couvercle gris ou Point de collecte,Bac au couvercle vert ou Point de collecte,
Lille (59350),Bac au couvercle undefined ou Sac undefined ou Point de collecte,Bac au couvercle undefined ou Sac undefined ou Point de collecte,Bac au couvercle undefined ou Sac undefined ou Point de collecte / Bac au couvercle undefined ou Sac undefined ou Point de collecte,Bac au couvercle undefined ou Sac undefined ou Point de collecte,Bac au couvercle undefined ou Sac undefined ou Point de collecte,Bac au couvercle undefined ou Sac undefined ou Point de collecte,Bac au couvercle undefined ou Sac undefined ou Point de collecte / Bac au couvercle undefined ou Sac undefined ou Point de collecte,Bac au couvercle undefined ou Sac undefined ou Point de collecte,Bac au couvercle vert,Bac au couvercle vert,Bac au couvercle undefined ou Sac undefined ou Point de collecte / Bac au couvercle undefined ou Sac undefined ou Point de collecte,Sac noir ou Bac au couvercle gris ou Point de collecte / Sac noir ou Bac au couvercle gris ou Point de collecte,Bac au couvercle undefined ou Sac undefined ou Point de collecte / Bac au couvercle undefined ou Sac undefined ou Point de collecte,Sac noir ou Bac au couvercle gris ou Point de collecte,Bac au couvercle undefined ou Sac undefined ou Point de collecte,
Rennes (35238),Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte / Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,À déposer dans un bac de compost,À déposer dans un bac de compost,Point de collecte / Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte / Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,
Reims (51454),Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte / Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Bac au couvercle undefined ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte / Bac au couvercle vert ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,À déposer dans un bac de compost,À déposer dans un bac de compost,Bac au couvercle vert ou Point de collecte / Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle gris ou Sac gris ou Point de collecte / Bac au couvercle gris ou Sac gris ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte / Bac au couvercle vert ou Point de collecte,Bac au couvercle gris ou Sac gris ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,
Toulon (83137),Bac au couvercle gris ou Point de collecte,Bac au couvercle gris ou Point de collecte,Bac au couvercle gris ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle gris ou Point de collecte,Bac au couvercle gris ou Point de collecte,Bac au couvercle gris ou Point de collecte / Bac au couvercle bleu ou Point de collecte,Bac au couvercle jaune ou Point de collecte,À déposer dans un bac de compost,À déposer dans un bac de compost,Bac au couvercle bleu ou Point de collecte / Bac au couvercle gris ou Point de collecte,Bac au couvercle gris ou Point de collecte / Bac au couvercle gris ou Point de collecte,Bac au couvercle gris ou Point de collecte / Bac au couvercle bleu ou Point de collecte,Bac au couvercle gris ou Point de collecte,Bac au couvercle gris ou Point de collecte,
Le Havre (76351),Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle marron,Bac au couvercle marron,Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Point de collecte
Grenoble (38185),Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle marron,Bac au couvercle marron,Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Point de collecte
Dijon (21231),Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,À déposer dans un bac de compost,À déposer dans un bac de compost,Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle gris ou Sac noir ou Point de collecte / Bac au couvercle gris ou Sac noir ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle gris ou Sac noir ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Point de collecte
Angers (49007),Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte / Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,À déposer dans un bac de compost,À déposer dans un bac de compost,Point de collecte / Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte / Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Point de collecte
Villeurbanne (69266),Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,À déposer dans un bac de compost,À déposer dans un bac de compost,Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Point de collecte
Nîmes (30189),Bac au couvercle bleu ou Sac bleu ou Point de collecte,Bac au couvercle bleu ou Sac bleu ou Point de collecte,Bac au couvercle bleu ou Sac bleu ou Point de collecte / Bac au couvercle bleu ou Sac bleu ou Point de collecte,Bac au couvercle jaune ou Bac au couvercle bleu ou Sac bleu ou Point de collecte,Bac au couvercle bleu ou Sac bleu ou Point de collecte,Bac au couvercle bleu ou Sac bleu ou Point de collecte,Bac au couvercle bleu ou Sac bleu ou Point de collecte / Bac au couvercle rouge ou Point de collecte,Bac au couvercle bleu ou Sac bleu ou Point de collecte,À déposer dans un bac de compost,À déposer dans un bac de compost,Bac au couvercle rouge ou Point de collecte / Bac au couvercle bleu ou Sac bleu ou Point de collecte,Bac au couvercle bleu ou Sac bleu ou Point de collecte / Bac au couvercle bleu ou Sac bleu ou Point de collecte,Bac au couvercle bleu ou Sac bleu ou Point de collecte / Bac au couvercle rouge ou Point de collecte,Bac au couvercle bleu ou Sac bleu ou Point de collecte,Bac au couvercle bleu ou Sac bleu ou Point de collecte,Bac au couvercle rouge ou Point de collecte
Clermont-Ferrand (63113),Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle vert,Bac au couvercle vert,Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Point de collecte
Aix-en-Provence (13001),Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,À déposer dans un bac de compost,À déposer dans un bac de compost,Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Point de collecte
Brest (29019),Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle marron,Bac au couvercle marron,Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Point de collecte
Tours (37261),Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,À déposer dans un bac de compost,À déposer dans un bac de compost,Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Point de collecte,Bac au couvercle jaune ou Point de collecte,Point de collecte
Amiens (80021),Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte / Bac au couvercle jaune ou Sac jaune ou Point de collecte,Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte / Point de collecte,Point de collecte,À déposer dans un bac de compost,À déposer dans un bac de compost,Point de collecte / Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte / Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte / Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Bac au couvercle jaune ou Sac jaune ou Point de collecte,Point de collecte
Limoges (87085),Sac jaune ou Bac au couvercle bleu ou Point de collecte,Sac jaune ou Bac au couvercle bleu ou Point de collecte,Sac jaune ou Bac au couvercle bleu ou Point de collecte / Sac jaune ou Bac au couvercle bleu ou Point de collecte,Sac jaune ou Bac au couvercle bleu ou Point de collecte,Sac jaune ou Bac au couvercle bleu ou Point de collecte,Sac jaune ou Bac au couvercle bleu ou Point de collecte,Sac jaune ou Bac au couvercle bleu ou Point de collecte / Point de collecte,Sac jaune ou Bac au couvercle bleu ou Point de collecte,À déposer dans un bac de compost,À déposer dans un bac de compost,Point de collecte / Sac jaune ou Bac au couvercle bleu ou Point de collecte,Sac jaune ou Bac au couvercle bleu ou Point de collecte / Sac jaune ou Bac au couvercle bleu ou Point de collecte,Sac jaune ou Bac au couvercle bleu ou Point de collecte / Point de collecte,Sac jaune ou Bac au couvercle bleu ou Point de collecte,Sac jaune ou Bac au couvercle bleu ou Point de collecte,Point de collecte
